safe_head,max_acc,stability_numerical,stability_analytical
0.1,0.1,sna,sda
0.533333333,0.1,sna,sda
0.966666667,0.1,sna,sda
1.4,0.1,snau,sda
1.833333333,0.1,snau,sda
2.266666667,0.1,snau,sdau
2.7,0.1,snau,sdau
3.133333333,0.1,snau,sdau
3.566666667,0.1,snau,sdau
4,0.1,snau,sdau
0.1,0.533333333,sna,sda
0.533333333,0.533333333,sna,sda
0.966666667,0.533333333,snau,sdau
1.4,0.533333333,snau,sdau
1.833333333,0.533333333,snau,sdau
2.266666667,0.533333333,snaus,sdaus
2.7,0.533333333,snaus,sdaus
3.133333333,0.533333333,snaus,sdaus
3.566666667,0.533333333,snaus,sdaus
4,0.533333333,snaus,sdaus
0.1,0.966666667,sna,sua
0.533333333,0.966666667,snau,suaua
0.966666667,0.966666667,snu,suau
1.4,0.966666667,snu,su
1.833333333,0.966666667,snus,sus
2.266666667,0.966666667,sns,s
2.7,0.966666667,sns,s
3.133333333,0.966666667,sns,s
3.566666667,0.966666667,sns,s
4,0.966666667,s,s
0.1,1.4,sna,sua
0.533333333,1.4,snu,su
0.966666667,1.4,snu,su
1.4,1.4,sns,s
1.833333333,1.4,sns,s
2.266666667,1.4,sns,s
2.7,1.4,s,s
3.133333333,1.4,s,s
3.566666667,1.4,s,s
4,1.4,s,s
0.1,1.833333333,sna,sua
0.533333333,1.833333333,snu,su
0.966666667,1.833333333,su,su
1.4,1.833333333,sns,s
1.833333333,1.833333333,s,s
2.266666667,1.833333333,s,s
2.7,1.833333333,s,s
3.133333333,1.833333333,s,s
3.566666667,1.833333333,s,s
4,1.833333333,s,s
0.1,2.266666667,sna,sua
0.533333333,2.266666667,snu,su
0.966666667,2.266666667,sns,s
1.4,2.266666667,s,s
1.833333333,2.266666667,s,s
2.266666667,2.266666667,s,s
2.7,2.266666667,s,s
3.133333333,2.266666667,s,s
3.566666667,2.266666667,s,s
4,2.266666667,s,s
0.1,2.7,sna,sua
0.533333333,2.7,snu,su
0.966666667,2.7,s,s
1.4,2.7,s,s
1.833333333,2.7,s,s
2.266666667,2.7,s,s
2.7,2.7,s,s
3.133333333,2.7,s,s
3.566666667,2.7,s,s
4,2.7,s,s
0.1,3.133333333,snaua,su
0.533333333,3.133333333,su,su
0.966666667,3.133333333,s,s
1.4,3.133333333,s,s
1.833333333,3.133333333,s,s
2.266666667,3.133333333,s,s
2.7,3.133333333,s,s
3.133333333,3.133333333,s,s
3.566666667,3.133333333,s,s
4,3.133333333,s,s
0.1,3.566666667,sna,su
0.533333333,3.566666667,snu,su
0.966666667,3.566666667,s,s
1.4,3.566666667,s,s
1.833333333,3.566666667,s,s
2.266666667,3.566666667,s,s
2.7,3.566666667,s,s
3.133333333,3.566666667,s,s
3.566666667,3.566666667,s,s
4,3.566666667,s,s
0.1,4,sna,su
0.533333333,4,snu,su
0.966666667,4,s,s
1.4,4,s,s
1.833333333,4,s,s
2.266666667,4,s,s
2.7,4,s,s
3.133333333,4,s,s
3.566666667,4,s,s
4,4,s,s
