sens_vel,sens_relvel,stability_numerical,stability_analytical
0.2,0.2,snaus,saus
0.2,0.288888889,snaus,saus
0.2,0.377777778,snaus,saus
0.2,0.466666667,snus,suaus
0.2,0.555555556,snus,sus
0.2,0.644444444,snus,sus
0.2,0.733333333,s,s
0.2,0.822222222,s,s
0.2,0.911111111,s,s
0.2,1,s,s
0.288888889,0.2,snaus,saus
0.288888889,0.288888889,snaus,saus
0.288888889,0.377777778,snus,suaus
0.288888889,0.466666667,snus,sus
0.288888889,0.555555556,snus,sus
0.288888889,0.644444444,s,s
0.288888889,0.733333333,s,s
0.288888889,0.822222222,s,s
0.288888889,0.911111111,s,s
0.288888889,1,s,s
0.377777778,0.2,snaus,saus
0.377777778,0.288888889,snus,suaus
0.377777778,0.377777778,snus,sus
0.377777778,0.466666667,snus,sus
0.377777778,0.555555556,s,sus
0.377777778,0.644444444,s,s
0.377777778,0.733333333,s,s
0.377777778,0.822222222,s,s
0.377777778,0.911111111,s,s
0.377777778,1,s,s
0.466666667,0.2,snaus,suaus
0.466666667,0.288888889,snus,sus
0.466666667,0.377777778,snus,sus
0.466666667,0.466666667,snus,sus
0.466666667,0.555555556,s,s
0.466666667,0.644444444,s,s
0.466666667,0.733333333,s,s
0.466666667,0.822222222,s,s
0.466666667,0.911111111,s,s
0.466666667,1,s,s
0.555555556,0.2,snus,suaus
0.555555556,0.288888889,snus,sus
0.555555556,0.377777778,snus,sus
0.555555556,0.466666667,s,s
0.555555556,0.555555556,s,s
0.555555556,0.644444444,s,s
0.555555556,0.733333333,s,s
0.555555556,0.822222222,s,s
0.555555556,0.911111111,s,s
0.555555556,1,s,s
0.644444444,0.2,snus,sus
0.644444444,0.288888889,snus,sus
0.644444444,0.377777778,s,s
0.644444444,0.466666667,s,s
0.644444444,0.555555556,s,s
0.644444444,0.644444444,s,s
0.644444444,0.733333333,s,s
0.644444444,0.822222222,s,s
0.644444444,0.911111111,s,s
0.644444444,1,s,s
0.733333333,0.2,snus,sus
0.733333333,0.288888889,s,sus
0.733333333,0.377777778,s,s
0.733333333,0.466666667,s,s
0.733333333,0.555555556,s,s
0.733333333,0.644444444,s,s
0.733333333,0.733333333,s,s
0.733333333,0.822222222,s,s
0.733333333,0.911111111,s,s
0.733333333,1,s,s
0.822222222,0.2,snus,sus
0.822222222,0.288888889,s,s
0.822222222,0.377777778,s,s
0.822222222,0.466666667,s,s
0.822222222,0.555555556,s,s
0.822222222,0.644444444,s,s
0.822222222,0.733333333,s,s
0.822222222,0.822222222,s,s
0.822222222,0.911111111,s,s
0.822222222,1,s,s
0.911111111,0.2,s,s
0.911111111,0.288888889,s,s
0.911111111,0.377777778,s,s
0.911111111,0.466666667,s,s
0.911111111,0.555555556,s,s
0.911111111,0.644444444,s,s
0.911111111,0.733333333,s,s
0.911111111,0.822222222,s,s
0.911111111,0.911111111,s,s
0.911111111,1,s,s
1,0.2,s,s
1,0.288888889,s,s
1,0.377777778,s,s
1,0.466666667,s,s
1,0.555555556,s,s
1,0.644444444,s,s
1,0.733333333,s,s
1,0.822222222,s,s
1,0.911111111,s,s
1,1,s,s
